MapperType, TotalAreaAllImages, SpriteWidth, SpriteHeight, SpriteArea, CandidateSpriteFails, CandidateSpritesGenerated, CanvasRectangleAddAttempts, CanvasNbrCellsGenerated, Efficiency, ElapsedTicks, Nbr_Images, Width_Standard_Deviation, Heigth_Standard_Deviation, Area_Standard_Deviation, Aspect_Ratio_Standard_Deviation
MapperVerticalOnly`1[Sprite], 8740, 44, 301, 13244, 0, 0, 0, 0, 0.6599215, 11, 14, 12.3886247008303, 12.6415067261657, 525.111918996824, 0.740072323412153
MapperOptimalEfficiency`1[Sprite], 8740, 204, 46, 9384, 41, 2, 365, 2503, 0.9313725, 2717, 14, 12.3886247008303, 12.6415067261657, 525.111918996824, 0.740072323412153
MapperHorizontalOnly`1[Sprite], 12507, 372, 65, 24180, 0, 0, 0, 0, 0.5172457, 12, 15, 13.4387499418659, 20.4142807157846, 939.133354291528, 0.819193579976599
MapperVerticalOnly`1[Sprite], 12507, 48, 378, 18144, 0, 0, 0, 0, 0.6893188, 11, 15, 13.4387499418659, 20.4142807157846, 939.133354291528, 0.819193579976599
MapperOptimalEfficiency`1[Sprite], 12507, 125, 108, 13500, 36, 5, 333, 2474, 0.9264445, 2405, 15, 13.4387499418659, 20.4142807157846, 939.133354291528, 0.819193579976599
MapperHorizontalOnly`1[Sprite], 13314, 391, 64, 25024, 0, 0, 0, 0, 0.5320492, 12, 16, 14.1372734287769, 17.7951304200522, 777.85644562477, 0.537563899881431
MapperVerticalOnly`1[Sprite], 13314, 45, 416, 18720, 0, 0, 0, 0, 0.7112179, 11, 16, 14.1372734287769, 17.7951304200522, 777.85644562477, 0.537563899881431
MapperOptimalEfficiency`1[Sprite], 13314, 180, 83, 14940, 40, 3, 379, 2964, 0.8911647, 3565, 16, 14.1372734287769, 17.7951304200522, 777.85644562477, 0.537563899881431
MapperHorizontalOnly`1[Sprite], 15029, 495, 56, 27720, 0, 0, 0, 0, 0.5421717, 13, 17, 12.7273443466281, 15.3424152558309, 676.91925945679, 0.912550635584601
MapperVerticalOnly`1[Sprite], 15029, 47, 450, 21150, 0, 0, 0, 0, 0.710591, 13, 17, 12.7273443466281, 15.3424152558309, 676.91925945679, 0.912550635584601
MapperOptimalEfficiency`1[Sprite], 15029, 200, 81, 16200, 59, 4, 682, 6241, 0.9277161, 7027, 17, 12.7273443466281, 15.3424152558309, 676.91925945679, 0.912550635584601
MapperHorizontalOnly`1[Sprite], 15686, 534, 55, 29370, 0, 0, 0, 0, 0.5340824, 13, 18, 14.6809199904061, 14.4651937444806, 738.188738995038, 0.567925460320997
MapperVerticalOnly`1[Sprite], 15686, 47, 436, 20492, 0, 0, 0, 0, 0.7654694, 14, 18, 14.6809199904061, 14.4651937444806, 738.188738995038, 0.567925460320997
MapperOptimalEfficiency`1[Sprite], 15686, 211, 80, 16880, 54, 5, 664, 6167, 0.9292654, 7303, 18, 14.6809199904061, 14.4651937444806, 738.188738995038, 0.567925460320997
MapperHorizontalOnly`1[Sprite], 21617, 582, 67, 38994, 0, 0, 0, 0, 0.5543674, 16, 19, 12.7897985663739, 16.2989254480237, 932.095479259577, 0.411095299727304
MapperVerticalOnly`1[Sprite], 21617, 49, 610, 29890, 0, 0, 0, 0, 0.7232184, 13, 19, 12.7897985663739, 16.2989254480237, 932.095479259577, 0.411095299727304
MapperOptimalEfficiency`1[Sprite], 21617, 334, 70, 23380, 83, 4, 1114, 12143, 0.9245937, 14460, 19, 12.7897985663739, 16.2989254480237, 932.095479259577, 0.411095299727304
MapperHorizontalOnly`1[Sprite], 22914, 618, 70, 43260, 0, 0, 0, 0, 0.529681, 17, 20, 12.8509676064121, 19.8957149578549, 883.332988414365, 0.71097733776912
